state,country,monetary,frequency,donation_start_date,last_donation_date,mean_amount,med_amount,max_amount,min_amount,recency,is_recurring,donor_id,median_recent_interval,is_monthly,segment,r_score,f_score,m_score,rfm_score
TX,US,1400.0,14,2024-10-12 14:21:52,2025-11-12 19:12:12,100.0,100.0,100.0,100.0,28,True,D0,30.0,True,other,3,1,2,312
AZ,US,3106.0,30,2022-03-18 23:40:00,2025-01-16 13:12:46,103.53333333333332,100.0,206.0,100.0,329,True,D1,30.0,True,churned,1,3,3,133
AZ,US,3900.0,39,2022-09-15 20:03:44,2025-11-15 19:21:24,100.0,100.0,100.0,100.0,25,True,D2,30.0,True,champions,3,4,4,344
TX,US,2878.0,26,2022-05-14 04:48:00,2024-10-01 15:22:45,110.6923076923077,103.0,206.0,103.0,435,True,D3,30.0,True,churned,1,3,3,133
AZ,US,865.2,21,2022-10-16 17:49:36,2024-06-16 15:01:18,41.2,41.2,41.2,41.2,542,True,D4,30.0,True,churned,1,3,1,131
AZ,US,370.8,18,2022-10-06 17:46:55,2024-03-06 17:45:58,20.6,20.6,20.6,20.6,644,True,D5,30.0,True,churned,1,2,1,121
AZ,US,4500.0,41,2022-03-22 19:18:00,2025-11-24 19:14:27,109.7560975609756,100.0,500.0,100.0,16,True,D6,30.0,True,champions,3,4,4,344
AZ,US,2000.0,20,2024-05-01 21:00:11,2025-12-01 19:25:46,100.0,100.0,100.0,100.0,9,True,D7,29.0,True,loyal_donors,3,3,3,333
AZ,US,50.0,1,2022-09-15 03:15:17,2022-09-15 03:15:17,50.0,50.0,50.0,50.0,1183,False,D8,,False,one_time,,,,
AZ,US,103.0,1,2022-05-14 05:15:00,2022-05-14 05:15:00,103.0,103.0,103.0,103.0,1307,False,D9,,False,one_time,,,,
TX,US,1400.0,14,2024-11-01 15:25:40,2025-12-01 19:24:42,100.0,100.0,100.0,100.0,9,True,D10,29.0,True,other,3,1,2,312
TX,US,2163.0,14,2024-10-15 14:56:28,2025-11-15 19:21:25,154.5,154.5,154.5,154.5,25,True,D11,30.0,True,other,3,1,3,313
CO,US,1957.0,38,2022-10-16 17:49:35,2025-11-16 19:19:16,51.5,51.5,51.5,51.5,24,True,D12,31.0,True,loyal_donors,3,4,2,342
TX,US,3000.0,1,2025-08-30 19:17:11,2025-08-30 19:17:11,3000.0,3000.0,3000.0,3000.0,102,False,D13,,False,one_time,,,,
WA,US,103.0,1,2022-09-15 21:54:07,2022-09-15 21:54:07,103.0,103.0,103.0,103.0,1182,False,D14,,False,one_time,,,,
AZ,US,750.0,15,2022-09-27 17:40:39,2023-11-27 17:43:33,50.0,50.0,50.0,50.0,744,True,D15,30.0,True,churned,1,2,1,121
CA,US,122.4,12,2022-08-02 17:53:48,2023-08-04 17:55:23,10.2,10.3,10.3,10.0,859,True,D16,30.0,True,churned,1,1,1,111
CO,US,4223.0,40,2022-10-03 18:01:45,2025-12-03 19:13:19,105.575,103.0,206.0,103.0,7,True,D17,30.0,True,champions,3,4,4,344
GA,US,12.0,1,2022-02-22 04:01:00,2022-02-22 04:01:00,12.0,12.0,12.0,12.0,1388,False,D18,,False,one_time,,,,
TX,US,2200.0,2,2024-07-01 09:00:00,2025-08-11 09:00:00,1100.0,1100.0,1200.0,1000.0,122,True,D19,406.0,False,rec_not_monthly,,,,
AZ,US,480.0,3,2022-08-31 17:36:38,2022-09-27 23:56:56,160.0,160.0,160.0,160.0,1170,True,D20,13.0,True,churned,1,1,1,111
TX,US,1081.5,14,2024-10-16 14:30:54,2025-11-16 19:19:29,77.25,77.25,77.25,77.25,24,True,D21,31.0,True,other,3,1,2,312
AL,US,1050.0,14,2024-11-04 13:12:47,2025-12-04 19:12:53,75.0,75.0,75.0,75.0,6,True,D22,29.0,True,other,3,1,2,312
AZ,US,2850.0,19,2022-09-22 17:47:42,2024-03-22 17:52:12,150.0,150.0,150.0,150.0,628,True,D23,30.0,True,churned,1,3,3,133
